data_type,mode,median,mean,fwhm,fwhm_midpoint,peak_tot(fit),peak_tot(histogram),error,shape,loc,scale,filename,energy,timestamp
isolated,14.36960211430466,13.272805977186948,12.87022490756292,4.965321832828719,13.479692139879262,14.36973697369737,13.818181818181818,2.393846799082686,-4.607508351391096,15.851400839893508,3.8233378659210295,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 14:51:32
cropped,14.085923239390233,12.535383615301106,12.00587417117762,6.084715320865621,12.817539613220159,14.085708570857086,13.818181818181818,2.9682140292039074,-5.49665972202064,15.767066836967553,4.791332256518523,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 14:51:32
all,14.314718585960192,12.647764066258118,12.097846923315187,6.152664200915151,12.946648507545502,14.314731473147315,14.727272727272727,3.0164501773401806,-5.983570109775083,15.945317633186134,4.888967430418253,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 14:51:32
isolated,12.222588208290816,11.27774935888516,10.936750789512917,4.127539507145135,11.454329258851814,12.222222222222221,11.777777777777777,1.995787598962295,-4.803282971449491,13.433670880608142,3.196525939435916,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 14:54:52
cropped,11.999912999421634,10.707315811416532,10.268427447324218,5.019640372980067,10.94193692251154,11.999799979998,11.777777777777777,2.4507592484241423,-5.574456649644935,13.377522800018106,3.9588754471287926,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 14:54:52
all,11.815802240854314,10.682884581259191,10.267077570171551,5.1279759755611956,10.896574856190563,11.815781578157816,11.777777777777777,2.4722992533976735,-4.608412057068281,13.346023508216655,3.9486924022713064,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 14:54:52
isolated,10.33208956994144,9.649538670698782,9.377313366058605,3.794398792287062,9.786027929452715,10.331733173317332,9.88888888888889,1.7990348009871018,-3.7143558259613236,11.551539814601908,2.8220182254386534,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 14:57:21
cropped,10.083276375906486,9.204734674000669,8.866196317999659,4.453136672966106,9.375680739600034,10.082908290829083,9.88888888888889,2.127155369365054,-4.073604883704042,11.473788967007923,3.3651640953422346,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 14:57:21
all,9.686275103907446,9.120808125873369,8.870799924931305,4.6776900505480485,9.249025643809754,9.686068606860687,9.88888888888889,2.1521671806337292,-2.652677489353735,11.286031491790656,3.234991050211856,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 14:57:21
isolated,8.349524343416048,8.003257288127907,7.847004678929079,3.2341722739051875,8.084651886460142,8.34953495349535,8.857142857142858,1.475762635192707,-2.4286284307372075,9.45996828076953,2.1862129210790613,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 14:59:12
cropped,8.540255604462997,7.677397134400296,7.357563875631371,3.990995693842674,7.841085328674904,8.54055405540554,8.777777777777777,1.9207221777465817,-4.496616148339302,9.742710874256339,3.062368346417077,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 14:59:12
all,8.255601029419283,7.576891987277078,7.293667256061873,4.361524055564769,7.718927688783628,8.255725572557257,7.888888888888888,2.0444768821150747,-3.252506720007265,9.704309259621242,3.160867063137535,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 14:59:12
isolated,6.86416565987511,6.866829313373316,6.868160576117897,2.9114567446053483,6.866012897918354,6.864386438643864,7.142857142857142,1.2366289637434267,0.31489162523400505,6.562911691566937,1.27374568713254,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:00:44
cropped,6.938982179717561,6.667561990318578,6.540279932354585,3.5039015807320686,6.736766544855428,6.938793879387939,7.0,1.5681388201811999,-1.964728488554591,8.126183859490787,2.230280391669468,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:00:44
all,6.509507674728129,6.486484858584525,6.475002378687514,4.1564300993640275,6.4934928350824865,6.509150915091509,7.0,1.7688460714550422,-0.5977729970276879,7.268702533202765,1.9387563951614626,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:00:44
isolated,6.86416565987511,6.866829313373316,6.868160576117897,2.9114567446053483,6.866012897918354,6.864386438643864,7.142857142857142,1.2366289637434267,0.31489162523400505,6.562911691566937,1.27374568713254,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:00:44
cropped,6.938982179717561,6.667561990318578,6.540279932354585,3.5039015807320686,6.736766544855428,6.938793879387939,7.0,1.5681388201811999,-1.964728488554591,8.126183859490787,2.230280391669468,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:00:44
all,6.509507674728129,6.486484858584525,6.475002378687514,4.1564300993640275,6.4934928350824865,6.509150915091509,7.0,1.7688460714550422,-0.5977729970276879,7.268702533202765,1.9387563951614626,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 15:00:44
