data_type,mode,median,mean,fwhm,fwhm_midpoint,tot_at_peak,error,shape,loc,scale,filename,energy,timestamp
(Isolated Hits) at 16keV,13.988358254296672,11.358835868546128,10.570889734321495,8.320117151296486,11.812533923994812,13.988298829882988,4.1297058158124775,-7.664939451932972,15.913312820844624,6.752477660871653,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 09:35:30
(Cropped Pixels) at 16keV,13.988358254296672,11.358835868546128,10.570889734321495,8.320117151296486,11.812533923994812,13.988298829882988,4.1297058158124775,-7.664939451932972,15.913312820844624,6.752477660871653,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 09:35:30
(All Pixels) at 16keV,14.03527259465673,11.48199392483027,10.699361052582752,8.362408113586426,11.926509062509691,14.036303630363035,4.139447572708261,-7.214264657493016,16.039017182932582,6.756252940616036,ToTdata_datadriven_20250608_104654.h5,16keV,2025-07-15 09:35:30
(Isolated Hits) at 14keV,9.909222355922484,9.609910945255855,9.463532115297763,8.460679401334103,9.695332041164175,9.908890889088909,3.672748601251519,-1.288892439372817,12.446107083287753,4.731261536596289,ToTdata_datadriven_20250608_112924.h5,14keV,2025-07-15 09:41:08
(Cropped Pixels) at 14keV,9.941633630852412,9.607915956356688,9.445328948692234,8.358618424473011,9.702074675821583,9.941194119411941,3.6406111748748726,-1.3672753774602948,12.510141017000404,4.7588993202915315,ToTdata_datadriven_20250608_112924.h5,14keV,2025-07-15 09:41:08
(All Pixels) at 14keV,9.708999688756982,9.54385886270892,9.46212676332116,8.631758637958882,9.592813403296013,9.70887088708871,3.703916820839555,-0.976316212246558,11.948746143629519,4.461196673340385,ToTdata_datadriven_20250608_112924.h5,14keV,2025-07-15 09:41:08
(Isolated Hits) at 12keV,11.936420766093617,9.969569094018812,9.36038943672211,6.54670457800529,10.31339872574664,11.936493649364936,3.236507312189233,-7.0203122539557175,13.529442947717907,5.277877107265833,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 09:51:22
(Cropped Pixels) at 12keV,11.937472068589797,9.970227611070804,9.361080812230858,6.545413139584275,10.314091427011583,11.937893789378938,3.235971080985533,-7.024956781879638,13.529589289815465,5.277117751639565,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 09:51:22
(All Pixels) at 12keV,11.454351724908946,9.945913795899948,9.391677438790392,6.8438478163109835,10.2306113039326,11.455445544554456,3.2989148286421464,-4.595966311422908,13.498794458956985,5.267945449981154,ToTdata_datadriven_20250608_115316.h5,12keV,2025-07-15 09:51:22
(Isolated Hits) at 10keV,10.230301991295768,8.703046563661717,8.20446284128947,5.5373251945504665,8.975705583486807,10.230923092309231,2.7187159584069898,-6.141067284310852,11.678458215405257,4.411355837140633,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 10:05:36
(Cropped Pixels) at 10keV,10.212822460781323,8.722967021876208,8.2317279671694,5.494110291406606,8.990040340353422,10.212721272127213,2.6937779254697674,-5.991234327796491,11.667945016858857,4.366237181409723,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 10:05:36
(All Pixels) at 10keV,9.827033598692008,8.689900253239847,8.252465897056126,5.739206957686986,8.910891135425867,9.826582658265828,2.7424364506832686,-4.091800227007933,11.616430210795997,4.3401858935017525,ToTdata_datadriven_20250608_120847.h5,10keV,2025-07-15 10:05:36
(Isolated Hits) at 8keV,8.37556806331131,7.486941696256341,7.1481474491897705,4.387390762483912,7.658563615456644,8.375337533753374,2.1002417709259373,-4.1874593538518265,9.732626566955588,3.3302474092039613,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 10:11:21
(Cropped Pixels) at 8keV,8.638887866858154,7.519133329090909,7.137837479724754,4.371160386557977,7.722638579966917,8.638763876387639,2.1332369235095023,-5.535469909265375,9.842561176724466,3.444739474755105,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 10:11:21
(All Pixels) at 8keV,6.864812750823471,7.185065177951143,7.339417778936163,6.18015593793595,7.0974650439182145,6.864386438643864,2.715512257370876,1.563019115555646,4.8746042490805195,3.6673304401009332,ToTdata_datadriven_20250608_122428.h5,8keV,2025-07-15 10:11:21
(Isolated Hits) at 7keV,6.979589487532257,6.459527088179454,6.232906629267223,3.99626613914118,6.574773019541505,6.97959795979598,1.8483425106579567,-2.806727581405439,8.339023570864963,2.8021596329242873,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 10:14:14
(Cropped Pixels) at 7keV,7.088023802832476,6.576488449565316,6.3548194074459605,3.829687166609518,6.688913282448665,7.087608760876088,1.774658793222434,-2.8648601167055032,8.3875745479905,2.6984268183095046,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 10:14:14
(All Pixels) at 7keV,5.633406891056999,7.10000077638622,7.670959276143679,7.631347348754567,6.812457638646327,5.634463446344634,3.637560831661906,3.9654593522973594,3.2292540834258903,5.741131754546052,ToTdata_datadriven_20250608_125050.h5,7keV,2025-07-15 10:14:14
